eda.Field,Shortlisted,eda.Type,eda.Recs,eda.Miss,eda.Unique,edapct.Type,edapct.Recs,edapct.Miss
Weather_Ncdc_TempMax_Palembang_Indonesia_Daily,,Num/Int,4007,47,21,Num/Int,4007,0.012
Weather_Ncdc_TempMin_Palembang_Indonesia_Daily,,Num/Int,4007,47,15,Num/Int,4007,0.012
electricity_gen_Korea_Geothermal_Monthly,,Num/Int,4007,75,124,Num/Int,4007,0.019
Weather_Ncdc_TempAvg_Samarinda_Indonesia_Daily,,Num/Int,4007,115,17,Num/Int,4007,0.029
Weather_Ncdc_TempAvg_Durban_SA_Daily,1,Num/Int,4007,128,32,Num/Int,4007,0.032
Weather_Ncdc_TemMax_Kimberley_WesternAustralia_Daily,,Num/Int,4007,168,64,Num/Int,4007,0.042
electricity_gen_Korea_Hydro_Monthly,,Num/Int,4007,218,170,Num/Int,4007,0.054
macro_fred_GDP_Russia_Quarterly,1,Num/Int,4007,241,59,Num/Int,4007,0.06
Weather_Ncdc_Prcp_NewCastle_AUS_Daily,,Num/Int,4007,275,180,Num/Int,4007,0.069
Weather_Ncdc_TempMax_Delhi_India_Daily,,Num/Int,4007,287,63,Num/Int,4007,0.072
Weather_Ncdc_TempMax_Durban_SA_Daily,,Num/Int,4007,315,37,Num/Int,4007,0.079
Weather_Ncdc_TempAvg_Mascow_Russia_Daily,,Num/Int,4007,366,102,Num/Int,4007,0.091
co2_emission_iea_coal_US_Year,1,Num/Int,4007,411,15,Num/Int,4007,0.103
co2_emission_iea_coal_Japan_Year,1,Num/Int,4007,411,15,Num/Int,4007,0.103
co2_emission_iea_coal_Australia_Year,1,Num/Int,4007,411,14,Num/Int,4007,0.103
co2_emission_iea_coal_Korea_Year,1,Num/Int,4007,411,15,Num/Int,4007,0.103
co2_emission_iea_coal_Germany_Year,1,Num/Int,4007,411,15,Num/Int,4007,0.103
co2_emission_iea_coal_Netherlands_Year,1,Num/Int,4007,411,15,Num/Int,4007,0.103
co2_emission_iea_coal_UK_Year,1,Num/Int,4007,411,15,Num/Int,4007,0.103
co2_emission_iea_coal_South_Africa_Year,1,Num/Int,4007,411,15,Num/Int,4007,0.103
co2_emission_iea_coal_India_Year,1,Num/Int,4007,411,15,Num/Int,4007,0.103
co2_emission_iea_coal_Indonasia_Year,1,Num/Int,4007,411,15,Num/Int,4007,0.103
co2_emission_iea_coal_China_Year,1,Num/Int,4007,411,15,Num/Int,4007,0.103
co2_emission_iea_TPES_US_Year,,Num/Int,4007,411,14,Num/Int,4007,0.103
co2_emission_iea_TPES_Australia_Year,,Num/Int,4007,411,14,Num/Int,4007,0.103
co2_emission_iea_TPES_Japan_Year,,Num/Int,4007,411,14,Num/Int,4007,0.103
co2_emission_iea_TPES_Korea_Year,,Num/Int,4007,411,13,Num/Int,4007,0.103
co2_emission_iea_TPES_Germany_Year,,Num/Int,4007,411,15,Num/Int,4007,0.103
co2_emission_iea_TPES_Netherlands_Year,,Num/Int,4007,411,12,Num/Int,4007,0.103
co2_emission_iea_TPES_UK_Year,,Num/Int,4007,411,14,Num/Int,4007,0.103
co2_emission_iea_TPES_South_Africa_Year,,Num/Int,4007,411,14,Num/Int,4007,0.103
co2_emission_iea_TPES_India_Year,,Num/Int,4007,411,14,Num/Int,4007,0.103
co2_emission_iea_TPES_Indonesia_Year,,Num/Int,4007,411,14,Num/Int,4007,0.103
co2_emission_iea_TPES_china_Year,,Num/Int,4007,411,12,Num/Int,4007,0.103
stockindex_investing_Price_FTSE_SA_Daily,1,Num/Int,4007,454,3400,Num/Int,4007,0.113
Futures_Quandl_Settle_Brent_Crude_Daily,1,Num/Int,4007,461,2917,Num/Int,4007,0.115
Futures_Quandl_Settle_Romtterdam_Gas_Daily,,Num/Int,4007,465,2553,Num/Int,4007,0.116
stockindex_investing_Close_GDAXI_Daily,1,Num/Int,4007,502,3498,Num/Int,4007,0.125
Weather_Ncdc_TempMin_Delhi_India_Daily,,Num/Int,4007,502,60,Num/Int,4007,0.125
stockindex_investing_Price_S.P_ASX_Daily,1,Num/Int,4007,505,3423,Num/Int,4007,0.126
Commodity_Quandl_Price_Europe.Brent_Spot_FOB_Crude_Oil_Daily,1,Num/Int,4007,514,2867,Num/Int,4007,0.128
stockindex_investing_Price_FTSE_Daily,1,Num/Int,4007,515,3413,Num/Int,4007,0.129
Weather_Ncdc_TempMin_Shanghai_China_Daily,,Num/Int,4007,517,70,Num/Int,4007,0.129
Weather_Ncdc_TempMin_Mascow_Russia_Daily,,Num/Int,4007,529,98,Num/Int,4007,0.132
Commodity_Quandl_Henry.Hub.Natural.Gas.Spot_Price_Daily,1,Num/Int,4007,539,828,Num/Int,4007,0.135
Weather_Ncdc_TempMax_PortElizabeth_SouthAfrica_Daily,1,Num/Int,4007,539,49,Num/Int,4007,0.135
stockindex_investing_Close_DOW_Jones_Daily,1,Num/Int,4007,543,3447,Num/Int,4007,0.136
Commodity_Quandl_Price_NewYorkHarbor_Ultra.Low.Sulfur.No2_Diesel_Spot_Daily,,Num/Int,4007,546,1473,Num/Int,4007,0.136
Commodity_Quandl_Price_U.S.Gulf_Ultra.Low.Sulfur.No2_Diesel_Spot_Daily,,Num/Int,4007,546,1491,Num/Int,4007,0.136
Commodity_Quandl_Price_Los.Angeles.CA_Ultra.Low.Sulfur.No2_Diesel_Spot_Daily,,Num/Int,4007,546,1714,Num/Int,4007,0.136
Commodity_Quandl_Price_WTI_Spot_FOB_Crude_Oil_Daily,1,Num/Int,4007,548,2832,Num/Int,4007,0.137
Commodity_Quandl_Price_NewYork_Harbor_Conventional_Gas_Spot_FOB_Daily,1,Num/Int,4007,548,1859,Num/Int,4007,0.137
Commodity_Quandl_Price_NewYorkHarbor_Heating_Oil_Spot_Daily,,Num/Int,4007,548,1870,Num/Int,4007,0.137
Commodity_Quandl_U.S..Gulf.Coast.Kerosene.Type.Jet.Fuel.Spot.Price.FOB_Daily,,Num/Int,4007,548,1914,Num/Int,4007,0.137
Commodity_Quandl_Price_U.S_Gulf_Conventional_Gas_Spot_FOB_Daily,1,Num/Int,4007,550,1860,Num/Int,4007,0.137
Commodity_Quandl_Mont.Belvieu.TX.Propane.Spot.Price.FOB_Daily,,Num/Int,4007,554,1142,Num/Int,4007,0.138
Futures_Quandl_Settle_Natural_Gas_Daily,1,Num/Int,4007,555,2673,Num/Int,4007,0.139
Weather_Ncdc_Price_Shanghai_China_Daily,,Num/Int,4007,580,189,Num/Int,4007,0.145
Weather_Ncdc_Prcp_Mascow_Russia_Daily,,Num/Int,4007,583,101,Num/Int,4007,0.145
stockindex_investing_Price_Kospi_Daily,1,Num/Int,4007,597,3353,Num/Int,4007,0.149
stockindex_investing_close_shanghai_Daily,1,Num/Int,4007,600,3360,Num/Int,4007,0.15
stockindex_investing_Close_BSE_Sensex_Daily,1,Num/Int,4007,612,3392,Num/Int,4007,0.153
stockindex_investing_Price_Nikkei_Daily,1,Num/Int,4007,637,3370,Num/Int,4007,0.159
stockindex_investing_Price_JKT_Daily,1,Num/Int,4007,658,3332,Num/Int,4007,0.164
